nrm1_l4_code,nrm1_l3_code,nrm1_l2_code,nrm1_description,nrm1_unit,nrm2_primary_ws,nrm2_primary_ws_name,nrm2_primary_items,nrm2_secondary_ws,confidence,matched_keywords,notes
0.4.3.1,0.4.3,0.4,Ground gas venting: details to be stated.,m2,38,Mechanical services,14,,Medium,gas,
0.5.1.1,0.5.1,0.5,Temporary diversion of drains: details to be stated.,item,35,Site works,,,Low,,
0.5.1.2,0.5.1,0.5,Temporary diversion of services: details to be stated.,item,35,Site works,,,Low,,
0.5.1.3,0.5.1,0.5,Temporary diversion of waterways: details to be stated.,item,35,Site works,,,Low,,
0.6.1.1,0.6.1,0.6,Excavation works: details to be stated.,item,5,Excavating and filling,6,,High,excavat,
0.6.1.2,0.6.1,0.6,Temporary screens and the like: details to be stated.,nr,14,Masonry,6,,Medium,arch,
0.6.1.3,0.6.1,0.6,Attendance on archaeologists.,weeks,14,Masonry,6,,Medium,arch,
0.6.2.1,0.6.2,0.6,Physical reptile/wildlife mitigation measures: details to be stated.,item,5,Excavating and filling,,,Low,,
0.6.2.2,0.6.2,0.6,"Temporary fences, barriers and the like: details to be stated.",nr/m,36,Fencing,"1, 2, 4",,Medium,"barrier, fence",
0.6.2.3,0.6.2,0.6,Attendance.,weeks,5,Excavating and filling,,,Low,,
0.6.3.1,0.6.3,0.6,Physical site investigation works: details to be stated.,item,5,Excavating and filling,,,Low,,
0.6.3.2,0.6.3,0.6,"Temporary screens, fences, barriers and the like: details to be stated.",nr/m,36,Fencing,"1, 2, 4",,Medium,"barrier, fence",
0.6.3.3,0.6.3,0.6,Attendance.,weeks,5,Excavating and filling,,,Low,,
1.1.1.1,1.1.1,1.1,"Strip foundations: details, including depth of foundation, to be stated.",m,5,Excavating and filling,,WS7:; WS8:; WS9:; WS11:,Low,,
1.1.1.2,1.1.1,1.1,"Isolated pad foundations: details, including size of and reinforcement rate (kg/m3) to pile cap, to be stated.",nr,7,Piling,"1, 2, 3, 4, 5, 8","WS11:21,22,23,24,25,26",High,"pile, pile cap, reinforcement",
1.1.1.3,1.1.1,1.1,Extra for disposal of contaminated excavated material: details to be stated.,m3,5,Excavating and filling,"6, 9",,High,"disposal, excavat",
1.1.2.1,1.1.2,1.1,"Piling mats/platforms: details, including thickness of mat/platform (mm), to be stated.",m2,7,Piling,"1, 2, 3, 4, 5",,High,piling,
1.1.2.2,1.1.2,1.1,Piling plant: details to be stated.,item,7,Piling,"1, 2, 3, 4, 5",,High,piling,
1.1.2.3,1.1.2,1.1,Moving piling rig to pile position.,nr,7,Piling,"1, 2, 3, 4, 5",,High,"pile, piling",
1.1.2.4,1.1.2,1.1,"Piles: details, including type, diameter (mm) and depth (m) of piles, to be stated.",nr,7,Piling,"1, 2, 3, 4, 5",,High,pile,
1.1.2.5,1.1.2,1.1,"Extra for pile casings or linings: details,  including material, length (m), diameter (mm) and if permanent or temporary, to be stated.",nr,7,Piling,"1, 2, 3, 4, 5",,High,pile,
1.1.2.6,1.1.2,1.1,"Caissons: details, including type, diameter  (mm) and depth (m) of caisson, to be stated.",nr,8,Underpinning,"1, 2, 3",,High,"underpin, underpinning",
1.1.2.7,1.1.2,1.1,Disposal of excavated material arising from piling.,m3,7,Piling,"1, 2, 3, 4, 5","WS5:6,9",High,"disposal, excavat, piling",
1.1.2.8,1.1.2,1.1,Extra for breaking through obstructions.,nr/m3,8,Underpinning,"1, 2, 3",,High,"underpin, underpinning",
1.1.2.9,1.1.2,1.1,Cutting off tops of concrete piles and preparing pile heads.,nr,11,In-situ concrete,"1, 2, 3, 4, 5, 6","WS4:3,4,5; WS7:1,2,3,4,5",High,"concrete, cutting, pile",
1.1.2.10,1.1.2,1.1,"Pile tests: details, including type of test, pile type, diameter of pile and number of piles to be stated.",item,7,Piling,"1, 2, 3, 4, 5, 6",,High,"pile, pile test",
1.1.2.11,1.1.2,1.1,"Vibro-compacted columns: details, including size (mm) and length (m) of column, to be stated.",nr,8,Underpinning,"1, 2, 3",,High,"underpin, underpinning",
1.1.2.12,1.1.2,1.1,"Pile caps: details, including size of and reinforcement rate (kg/m3) to pile cap, to be stated.",nr,7,Piling,"1, 2, 3, 4, 5, 8","WS11:21,22,23,24,25,26",High,"pile, pile cap, reinforcement",
1.1.2.13,1.1.2,1.1,"Ground beams: details, including size of and reinforcement rate (kg/m3) to pile cap, to be stated.",m,7,Piling,"1, 2, 3, 4, 5, 8","WS11:21,22,23,24,25,26",High,"pile, pile cap, reinforcement",
1.1.2.14,1.1.2,1.1,Underpinning: details to be stated.,,8,Underpinning,"1, 2, 3",,High,"underpin, underpinning",
1.1.3.1,1.1.3,1.1,Lowest floor construction: details to be stated.,m2,5,Excavating and filling,,WS7:; WS8:; WS9:; WS11:,Low,,
1.1.3.2,1.1.3,1.1,Extra over lowest floor construction for forming ramps and the like: details to be stated.,m2,5,Excavating and filling,,WS7:; WS8:; WS9:; WS11:,Low,,
1.1.3.3,1.1.3,1.1,"Extra over lowest floor construction for forming of lift pits and the like: details, including the number and size (m) of lift pits, to be stated.",nr,40,Transportation systems,"1, 2",,Medium,lift,
1.1.3.4,1.1.3,1.1,"Extra over lowest floor construction for forming swimming pool tanks and the like: details, including the size (m), to be stated.",nr,5,Excavating and filling,,WS7:; WS8:; WS9:; WS11:,Low,,
1.1.3.5,1.1.3,1.1,"Retaining walls at changes in level: details, including thickness (mm), height (m) and reinforcement rate (kg/m3), to be stated.",m,11,In-situ concrete,"21, 22, 23, 24, 25, 26",WS14:1,High,"reinforcement, wall",
1.1.3.6,1.1.3,1.1,"Designed joints: details, including height (mm), to be stated.",m,11,In-situ concrete,"28, 29, 30, 31",,High,joint,
1.1.3.7,1.1.3,1.1,"Drainage below ground: details, including average depth of trench (m), type and nominal size of pipe (mm), and materials for beds and  haunchings/surrounds, to be stated.",m,5,Excavating and filling,6,,High,trench,
1.1.3.8,1.1.3,1.1,"Gullies, floor outlets and the like: details to be stated.",nr,5,Excavating and filling,,WS7:; WS8:; WS9:; WS11:,Low,,
1.1.3.9,1.1.3,1.1,"Internal manholes, catch-pits, petrol interceptors or the like: details to be stated.",nr,34,Drainage below ground,6,WS41:4,Medium,"hole, manhole",
1.1.3.10,1.1.3,1.1,Testing of drainage installations.,%,5,Excavating and filling,,WS7:; WS8:; WS9:; WS11:,Low,,
1.1.3.11,1.1.3,1.1,Commissioning of drainage installations.,%,5,Excavating and filling,,WS7:; WS8:; WS9:; WS11:,Low,,
1.1.4.1,1.1.4,1.1,"Basement excavation: details, including average depth of excavation, to be stated.",m3,5,Excavating and filling,6,,High,excavat,
1.1.4.2,1.1.4,1.1,Disposal of excavated material: details to be stated.,m3,5,Excavating and filling,"6, 9",,High,"disposal, excavat",
1.1.4.3,1.1.4,1.1,Extra for disposal of contaminated excavated material: details to be stated.,m3,5,Excavating and filling,"6, 9",,High,"disposal, excavat",
1.1.4.4,1.1.4,1.1,Earthwork support: details to be stated.,m2,5,Excavating and filling,6,,High,earthwork,
1.1.4.5,1.1.4,1.1,Additional excavation: details to be stated.,m2,5,Excavating and filling,6,,High,excavat,
1.1.5.1,1.1.5,1.1,Basement retaining wall: details to be stated.,m/m2,14,Masonry,1,,Medium,wall,
1.1.5.2,1.1.5,1.1,"Piling mats/platforms: details, including thickness of mat/platform (mm), to be stated.",m2,7,Piling,"1, 2, 3, 4, 5",,High,piling,
1.1.5.3,1.1.5,1.1,Piling plant: details to be stated.,item,7,Piling,"1, 2, 3, 4, 5",,High,piling,
1.1.5.4,1.1.5,1.1,Moving piling rig to pile position.,nr,7,Piling,"1, 2, 3, 4, 5",,High,"pile, piling",
1.1.5.5,1.1.5,1.1,Guide walls: details to be stated.,m,14,Masonry,1,,Medium,wall,
1.1.5.6,1.1.5,1.1,"Piles: details, including type, diameter (mm), depth (m), total length (m) and embedded length (m) of piles of piles, to be stated.",nr,7,Piling,"1, 2, 3, 4, 5",,High,pile,
1.1.5.7,1.1.5,1.1,"Contiguous bored pile walls: details, including diameter (mm), depth (m), total length (m) and embedded length (m) of piles of piles, to be stated.",m,7,Piling,"1, 2, 3, 4, 5",WS14:1,High,"bored pile, pile, wall",
1.1.5.8,1.1.5,1.1,Disposal of excavated material arising from piling.,m3,7,Piling,"1, 2, 3, 4, 5","WS5:6,9",High,"disposal, excavat, piling",
1.1.5.9,1.1.5,1.1,Cutting off tops of concrete piles.,nr/m,11,In-situ concrete,"1, 2, 3, 4, 5, 6","WS4:3,4,5; WS7:1,2,3,4,5",High,"concrete, cutting, pile",
1.1.5.10,1.1.5,1.1,"Steel sheet piling: details, including total area (m2) and total driven area (m2) to be stated.",m2,7,Piling,"1, 2, 3, 4, 5",,High,piling,
1.1.5.11,1.1.5,1.1,Cutting off surplus lengths steel sheet piling.,nr,7,Piling,"1, 2, 3, 4, 5","WS4:3,4,5",High,"cutting, piling",
1.1.5.12,1.1.5,1.1,Pile tests: details to be stated.,item,7,Piling,"1, 2, 3, 4, 5, 6",,High,"pile, pile test",
1.1.5.13,1.1.5,1.1,"Diaphragm walls: details, including depth of excavation, thickness (mm) of wall reinforcement rate (kg/m3), to be stated.",m2,11,In-situ concrete,"21, 22, 23, 24, 25, 26",WS5:6; WS14:1,High,"excavat, reinforcement, wall",
1.1.5.14,1.1.5,1.1,"Ground anchors: details, including type, to be stated.",nr,14,Masonry,1,,Medium,wall,
1.1.5.15,1.1.5,1.1,Trimming and cleaning faces of piled and diaphragm walls.,m2,7,Piling,"1, 2, 3, 4, 5",WS14:1,High,"pile, wall",
1.1.5.16,1.1.5,1.1,Temporary works: details to be stated.,item,3,Demolitions,3,,Medium,temporary works,
1.1.5.17,1.1.5,1.1,Removal of temporary works: details to be stated.,item,3,Demolitions,3,,Medium,temporary works,
1.1.5.18,1.1.5,1.1,"Capping beams: details, including beam size (mm) and reinforcement rate (kg/m3), to be stated.",m,11,In-situ concrete,"21, 22, 23, 24, 25, 26",,High,reinforcement,
1.1.5.19,1.1.5,1.1,Basement retaining wall components: details to be stated.,m2,14,Masonry,1,,Medium,wall,
1.1.5.20,1.1.5,1.1,"Concrete applied by spray or gun: details, including thickness (mm), to be stated.",m2,11,In-situ concrete,"1, 2, 3, 4, 5, 6",,High,concrete,
2.1.1.1,2.1.1,2.1,"Structural steel frame, including fittings and fixings: details, including size of column grid (m), to be stated.",t,15,Structural metalwork,"1, 2, 3, 4, 5","WS32:3,4",High,"fitting, steel frame, structural steel",
2.1.1.2,2.1.1,2.1,Fire protection to steel frame: details to be stated.,t,15,Structural metalwork,"1, 2, 3, 4, 5","WS31:6,7",High,"fire protection, steel frame",
2.1.1.3,2.1.1,2.1,Factory applied paint systems: details to be stated.,t,29,Decoration,"1, 2, 3, 4",,Medium,paint,
2.1.2.1,2.1.2,2.1,"Space frame/deck, including structural support framework, fittings and fixings: details to be stated.",t,32,"Furniture, fittings","3, 4",,Medium,fitting,
2.1.2.2,2.1.2,2.1,Fire protection to steel frame: details to be stated.,t,15,Structural metalwork,"1, 2, 3, 4, 5","WS31:6,7",High,"fire protection, steel frame",
2.1.2.3,2.1.2,2.1,Factory applied paint systems: details to be stated.,t,29,Decoration,"1, 2, 3, 4",,Medium,paint,
2.1.3.1,2.1.3,2.1,"Column casings: details, including number of columns (nr), column size and type of formwork finish, to be stated.",m,11,In-situ concrete,"13, 14, 15, 16",,High,formwork,
2.1.3.2,2.1.3,2.1,"Beam casings: details, including number of beams (nr), beam size and type of formwork finish, to be stated.",m,11,In-situ concrete,"13, 14, 15, 16",,High,formwork,
2.1.4.1,2.1.4,2.1,"Columns: details, including number (nr) of columns, column size (mm), concrete grade, reinforcement rate (kg/m3) and type of formwork finish, to be stated.",m,11,In-situ concrete,"1, 2, 3, 4, 5, 6, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26",,High,"concrete, formwork, reinforcement",
2.1.4.2,2.1.4,2.1,"Beams: details, including number (nr) of beams, beam size (mm), reinforcement rate (kg/m3) and type of formwork finish, to be stated.",m,11,In-situ concrete,"13, 14, 15, 16, 21, 22, 23, 24, 25, 26",,High,"formwork, reinforcement",
2.1.4.3,2.1.4,2.1,"Walls: details, including thickness of wall (mm), concrete grade, reinforcement rate (kg/m3) and type of formwork finish, to be stated.",m2,11,In-situ concrete,"1, 2, 3, 4, 5, 6, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26",WS14:1,High,"concrete, formwork, reinforcement, wall",
2.1.4.4,2.1.4,2.1,"Extra over walls for forming openings in walls for doors, windows, screens and the like: details, including thickness of wall (mm), overall size of opening (m) and type of formwork finish, to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6; WS11:13,14,15,16; WS14:1; WS23:1,2,3,4",High,"door, formwork, opening, wall, window",
2.1.4.5,2.1.4,2.1,Designed joints: details to be stated.,m,11,In-situ concrete,"28, 29, 30, 31",,High,joint,
2.1.5.1,2.1.5,2.1,Timber frames: details to be stated.,m2,16,Carpentry,"1, 2, 3, 4",,High,"timber, timber frame",
2.1.6.1,2.1.6,2.1,Specialist frame: details to be stated.,m2,11,In-situ concrete,,WS12:; WS13:; WS14:; WS15:; WS16:,Low,,
2.2.1.1,2.2.1,2.2,"Suspended floor slabs: details, including thickness (mm); concrete strength (N/mm2), reinforcement rate (kg/m3) and type of formwork finish, to be stated.",m2,11,In-situ concrete,"1, 2, 3, 4, 5, 6, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26",,High,"concrete, formwork, reinforcement",
2.2.1.2,2.2.1,2.2,Edge formwork: details of formwork finish to be stated.,m,11,In-situ concrete,"13, 14, 15, 16",,High,formwork,
2.2.1.3,2.2.1,2.2,Designed joints: details to be stated.,m,11,In-situ concrete,"28, 29, 30, 31",,High,joint,
2.2.1.4,2.2.1,2.2,Surface treatments: details to be stated.,m2,28,Floor/wall/ceiling finishes,4,,Medium,screed,
2.2.1.5,2.2.1,2.2,"Suspended floor slab: details, including type, thickness (mm), span (m) and loading (kN/m2), to be stated.",m2,28,Floor/wall/ceiling finishes,4,,Medium,screed,
2.2.1.6,2.2.1,2.2,Timber floors: details to be stated.,m2,16,Carpentry,"1, 2, 3, 4",,High,"timber, timber floor",
2.2.1.7,2.2.1,2.2,"Structural screeds: details, including thickness (mm), reinforcement rate (kg/m3) and surface treatments, to be stated.",m2,11,In-situ concrete,"21, 22, 23, 24, 25, 26",WS28:4,High,"reinforcement, screed",
2.2.2.1,2.2.2,2.2,"Balconies: details, including floor area (m2) of balcony, to be stated.",nr,11,In-situ concrete,,WS12:; WS13:; WS16:,Low,,
2.2.3.1,2.2.3,2.2,Rainwater pipes: details to be stated.,m,11,In-situ concrete,,WS12:; WS13:; WS16:,Low,,
2.2.3.2,2.2.3,2.2,Floor outlets: details to be stated.,nr,11,In-situ concrete,,WS12:; WS13:; WS16:,Low,,
2.2.3.3,2.2.3,2.2,Testing of installations.,%,11,In-situ concrete,,WS12:; WS13:; WS16:,Low,,
2.2.3.4,2.2.3,2.2,Commissioning of installations.,%,11,In-situ concrete,,WS12:; WS13:; WS16:,Low,,
2.3.1.1,2.3.1,2.3,"Roof structure - pitched roofs: details, including design loads (kN/m2), spans (m) and angle of pitch (degrees), to be stated.",m2,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.1.2,2.3.1,2.3,Extra over roof structure - pitched roofs for forming dormer.,m2,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.1.3,2.3.1,2.3,Prefabricated dormers: details to be stated.,nr,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.1.4,2.3.1,2.3,"Roof structure - flat roofs: details, including design loads (kN/m2) and spans (m), to be stated.",m2,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.2.1,2.3.2,2.3,"Roof coverings, non-structural screeds, thermal insulation, and surface treatments: details to be stated.",m2,31,"Insulation, fire protection","1, 2, 3",WS28:4,Medium,"insulation, screed, thermal insulation",
2.3.2.2,2.3.2,2.3,"Extra over roof coverings for coverings to dormers, including cladding to dormer cheeks.",m2,21,Cladding,"1, 2, 3, 4",,High,cladding,
2.3.2.3,2.3.2,2.3,"Eaves, verge treatment to pitched roofs: details to be stated.",m,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.2.4,2.3.2,2.3,Edge treatment to flat roofs: details stated.,m,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.2.5,2.3.2,2.3,Flashings: details to be stated.,m,17,Sheet roof coverings,9,WS18:4,High,flashing,
2.3.3.1,2.3.3,2.3,Specialist roof systems: details to be stated.,m2,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.4.1,2.3.4,2.3,Gutters: details to be stated.,m,17,Sheet roof coverings,5,,High,gutter,
2.3.4.2,2.3.4,2.3,Rainwater pipes: details to be stated.,m,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.4.3,2.3.4,2.3,Testing of installations.,%,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.4.4,2.3.4,2.3,Commissioning of installations.,%,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.3.5.1,2.3.5,2.3,"Rooflights, skylights and openings: type and size to be stated.",nr/m2,4,"Alterations, repairs and conservation","3, 6",WS23:5,Medium,"opening, rooflight, skylight",
2.3.6.1,2.3.6,2.3,Roof features: details to be stated.,nr,11,In-situ concrete,,WS16:; WS17:; WS18:; WS19:; WS21:,Low,,
2.4.1.1,2.4.1,2.4,"Stair structures: details, including vertical rise of staircase, to be stated.",nr,25,"Stairs, walkways","1, 2, 3",,High,"stair, staircase",
2.4.1.2,2.4.1,2.4,"Ramp structures: details, including vertical rise of ramp, to be stated.",nr,25,"Stairs, walkways","1, 2, 3",,High,stair,
2.4.2.1,2.4.2,2.4,"Stair finishes: details, including vertical rise of staircase, to be stated.",nr,25,"Stairs, walkways","1, 2, 3",,High,"stair, staircase",
2.4.2.2,2.4.2,2.4,"Ramp finishes: details, including vertical rise of ramp, to be stated.",nr,25,"Stairs, walkways","1, 2, 3",,High,stair,
2.4.3.1,2.4.3,2.4,"Wall handrails: details, including vertical rise of staircase or ramp, to be stated.",nr,25,"Stairs, walkways","1, 2, 3, 4, 5",WS14:1,High,"handrail, stair, staircase, wall",
2.4.3.2,2.4.3,2.4,"Combined balustrades and handrails: details, including vertical rise of staircase or ramp, to be stated.",nr,25,"Stairs, walkways","1, 2, 3, 4, 5",,High,"balustrade, handrail, stair, staircase",
2.4.4.1,2.4.4,2.4,Ladders: details to be stated.,nr,25,"Stairs, walkways","1, 2, 3",,High,stair,
2.4.4.2,2.4.4,2.4,Chutes: details to be stated.,nr,25,"Stairs, walkways","1, 2, 3",,High,stair,
2.4.4.3,2.4.4,2.4,Slides: details to be stated.,nr,25,"Stairs, walkways","1, 2, 3",,High,stair,
2.5.1.1,2.5.1,2.5,External walls: details to be stated.,m2,14,Masonry,1,,High,wall,
2.5.1.2,2.5.1,2.5,"Extra over external walls for plinths, cornices, ornamental bands and the like: details to be stated.",m2,14,Masonry,1,,High,wall,
2.5.1.3,2.5.1,2.5,Extra over external walls for quoins: details to be stated.,m,14,Masonry,1,,High,wall,
2.5.1.4,2.5.1,2.5,"Extra over external walls for forming openings for windows: details, including overall size of opening (mm), to be stated.",nr,23,"Windows, screens","1, 2, 3, 4","WS4:3,6; WS14:1",High,"opening, wall, window",
2.5.1.5,2.5.1,2.5,"Extra over external walls for forming openings for external doors: details, including overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6; WS14:1",High,"door, opening, wall",
2.5.1.6,2.5.1,2.5,"Extra over cladding or curtain walling system for integral photovoltaic panels: details, including overall size of opening (mm), to be stated.",nr,21,Cladding,"1, 2, 3, 4, 5","WS4:3,6; WS14:1",High,"cladding, curtain wall, opening, wall",
2.5.1.7,2.5.1,2.5,"Extra over cladding or curtain walling system for integral opening vents and panels: details, including purpose of opening and overall size of opening (mm), to be stated.",nr,21,Cladding,"1, 2, 3, 4, 5","WS4:3,6; WS14:1",High,"cladding, curtain wall, opening, wall",
2.5.1.8,2.5.1,2.5,"Projecting fins to cladding or curtain walling system: details, including overall size of panel (mm), to be stated.",nr,21,Cladding,"1, 2, 3, 4, 5",WS14:1,High,"cladding, curtain wall, wall",
2.5.1.9,2.5.1,2.5,Extra over projecting fins for applied artwork: details to be stated.,item,14,Masonry,1,,High,wall,
2.5.1.10,2.5.1,2.5,"Safety barriers, handrails or combined balusters and handrails to facetted glazing or cladding systems: details to be stated.",nr/m,21,Cladding,"1, 2, 3, 4","WS25:4,5; WS27:1,2,3; WS36:4",High,"barrier, cladding, glazing, handrail",
2.5.1.11,2.5.1,2.5,Finishes applied to external walls: details to be stated.,m2,14,Masonry,1,,High,wall,
2.5.2.1,2.5.2,2.5,External walls: details to be stated.,m2,14,Masonry,1,,High,wall,
2.5.2.2,2.5.2,2.5,"Extra over external walls for plinths, cornices, ornamental bands and the like: details to be stated.",m,14,Masonry,1,,High,wall,
2.5.2.3,2.5.2,2.5,Extra over external walls for quoins: details to be stated.,m,14,Masonry,1,,High,wall,
2.5.2.4,2.5.2,2.5,"Extra over external walls for forming openings for windows: details, including overall size of opening (mm), to be stated.",nr,23,"Windows, screens","1, 2, 3, 4","WS4:3,6; WS14:1",High,"opening, wall, window",
2.5.2.5,2.5.2,2.5,"Extra over external walls for forming openings for external doors: details, including overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6; WS14:1",High,"door, opening, wall",
2.5.2.6,2.5.2,2.5,Finishes to external walls: details to be stated.,m2,14,Masonry,1,,High,wall,
2.5.3.1,2.5.3,2.5,"Vertical solar/rain screening: details, including projection (mm), to be stated.",m2,14,Masonry,1,,High,wall,
2.5.3.2,2.5.3,2.5,Horizontal solar/rain screening: details to be stated.,m,14,Masonry,1,,High,wall,
2.5.4.1,2.5.4,2.5,External soffit: details to be stated.,m2,17,Sheet roof coverings,8,,Medium,soffit,
2.5.4.2,2.5.4,2.5,"Cornices, covings and the like: details to be stated.",m,14,Masonry,1,WS17:8,High,"soffit, wall",
2.5.4.3,2.5.4,2.5,Shadow gaps and the like: details to be stated.,m,14,Masonry,1,WS17:8,High,"soffit, wall",
2.5.4.4,2.5.4,2.5,Access hatches and the like: details to be stated.,nr,14,Masonry,1,WS17:8,High,"soffit, wall",
2.5.4.5,2.5.4,2.5,Finishes applied to external soffits: details to be stated.,m2,17,Sheet roof coverings,8,,Medium,soffit,
2.5.5.1,2.5.5,2.5,Walls: details to be stated.,m,14,Masonry,1,,High,wall,
2.5.5.2,2.5.5,2.5,Walls forming planters: details to be stated.,m,14,Masonry,1,,High,wall,
2.5.5.3,2.5.5,2.5,Combined balustrades and handrails: details to be stated.,m,25,"Stairs, walkways","4, 5",,Medium,"balustrade, handrail",
2.5.5.4,2.5.5,2.5,Wall mounted handrails: details to be stated.,m,25,"Stairs, walkways","4, 5",WS14:1,High,"handrail, wall",
2.5.5.5,2.5.5,2.5,Parapet railings: details to be stated.,m,25,"Stairs, walkways","4, 5",WS14:1,High,"balustrade, wall",
2.5.5.6,2.5.5,2.5,Proprietary bolt-on balconies: details to be stated.,m,25,"Stairs, walkways","4, 5",WS14:1,High,"balustrade, wall",
2.5.5.7,2.5.5,2.5,Rainwater pipes: details to be stated.,nr,25,"Stairs, walkways","4, 5",WS14:1,High,"balustrade, wall",
2.5.5.8,2.5.5,2.5,Floor outlets: details to be stated.,nr,25,"Stairs, walkways","4, 5",WS14:1,High,"balustrade, wall",
2.5.5.9,2.5.5,2.5,Testing of rainwater drainage installation.,%,25,"Stairs, walkways","4, 5",WS14:1,High,"balustrade, wall",
2.5.5.10,2.5.5,2.5,Commissioning of rainwater drainage installation.,%,25,"Stairs, walkways","4, 5",WS14:1,High,"balustrade, wall",
2.5.6.1,2.5.6,2.5,Facade cleaning systems: details to be stated.,nr,14,Masonry,1,,High,wall,
2.5.6.2,2.5.6,2.5,Testing of installations.,%,14,Masonry,1,,High,wall,
2.5.6.3,2.5.6,2.5,Commissioning of installations.,%,14,Masonry,1,,High,wall,
2.6.1.1,2.6.1,2.6,"Windows: details, including overall size of opening (mm), to be stated.",m2,23,"Windows, screens","1, 2, 3, 4","WS4:3,6",High,"opening, window",
2.6.1.2,2.6.1,2.6,"Louvers: details, including overall size of opening (mm), to be stated.",m2,4,"Alterations, repairs and conservation","3, 6",,Medium,opening,
